comentario,polaridad,tema,tono,longitud,satisfaccion_min,satisfaccion_max,aspecto_variable,aspecto_valor_min,aspecto_valor_max
La mayoría de las sesiones me parecen poco aprovechables. Este punto me genera bastante frustración.,muy_negativo,clase,queja,medio,1,2,clase_horario,1,2
"El curso ha cumplido, pero no ha destacado demasiado.",neutral,general,informal,medio,2,4,ninguno,1,5
En general la plataforma responde bien y es estable.,positivo,tecnologia,formal,corto,3,5,clase_visibilidad_pantalla,3,5
"La metodología del curso me resulta correcta, sin destacar demasiado.",neutral,metodologia,informal,corto,2,4,grado_dificultad,2,4
"El contenido es correcto, aunque algunos temas me han parecido básicos. Creo que aún se podrían mejorar algunos detalles.",neutral,contenido,constructivo,medio,2,4,contenidos_adecuados,2,4
El profesor no consigue explicar los contenidos de forma comprensible.,muy_negativo,profesor,formal,medio,1,2,preparado_clases,1,2
"La calidad técnica es aceptable, pero mejorable.",neutral,tecnologia,sugerencia,corto,2,4,clase_visibilidad_pantalla,2,4
"En general las clases son agradables y productivas. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,clase,formal,largo,3,5,clase_conveniencia_dia,3,5
"La conexión y la plataforma fallan tan a menudo que desmotivan. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,tecnologia,queja,largo,1,2,clase_calidad_conexion,1,2
"Las clases tienen un ritmo muy bueno y mantienen mi atención. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,clase,informal,largo,4,5,clase_horario,4,5
Siento que pierdo el tiempo en bastantes sesiones. Este punto me genera bastante frustración.,muy_negativo,clase,queja,medio,1,2,clase_horario,1,2
"Me cuesta mantener la atención durante toda la clase. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,clase,formal,largo,1,3,clase_conveniencia_dia,1,3
"Los materiales del curso aportan valor y complementan bien las clases. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,contenido,formal,largo,3,5,conocimientos_utiles_futuro,3,5
Las clases se me hacen muy pesadas y difíciles de seguir.,muy_negativo,clase,formal,medio,1,2,clase_duracion,1,2
"El temario cumple, sin aportar nada extraordinario.",neutral,contenido,formal,medio,2,4,contenidos_adecuados,2,4
No he encontrado utilidad real en la mayoría de los contenidos. Este punto me genera bastante frustración.,muy_negativo,contenido,queja,corto,1,2,conocimientos_utiles_futuro,1,2
La atención al alumno es excelente y muy cercana.,muy_positivo,soporte,elogio,corto,4,5,velocidad_respuesta,4,5
No he encontrado utilidad real en la mayoría de los contenidos.,muy_negativo,contenido,formal,medio,1,2,conocimientos_utiles_futuro,1,2
No siento que el equipo de soporte se preocupe por mis problemas.,muy_negativo,soporte,formal,medio,1,2,velocidad_respuesta,1,2
No siempre el profesor responde de forma clara a las dudas.,negativo,profesor,formal,medio,1,3,mantiene_atencion,1,3
Las explicaciones del profesor son correctas pero podrían ser más dinámicas.,neutral,profesor,informal,medio,2,4,accesible_y_atiende_consultas,2,4
El contenido es profundo y a la vez fácil de seguir. Valoro mucho este aspecto del curso.,muy_positivo,contenido,elogio,medio,4,5,conocimientos_utiles_futuro,4,5
El curso ha superado mis expectativas en casi todos los aspectos. Valoro mucho este aspecto del curso.,muy_positivo,general,elogio,medio,4,5,ninguno,1,5
Hay varios aspectos del curso que me han dejado insatisfecho. Este punto me genera bastante frustración.,negativo,general,queja,medio,1,3,ninguno,1,5
"He tenido algunas incidencias técnicas, pero nada grave. Me gustaría que se introdujeran cambios en este sentido.",neutral,tecnologia,sugerencia,medio,2,4,clase_calidad_audio,2,4
"Algunos temas del contenido me han resultado poco relevantes. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,contenido,formal,largo,1,3,conocimientos_utiles_futuro,1,3
Los temas tratados son muy relevantes para mi desarrollo profesional.,muy_positivo,contenido,informal,medio,4,5,conocimientos_utiles_futuro,4,5
El contenido del curso no ha cumplido mis expectativas. Este punto me genera bastante frustración.,muy_negativo,contenido,queja,medio,1,2,conocimientos_utiles_futuro,1,2
La conexión y la plataforma fallan tan a menudo que desmotivan.,muy_negativo,tecnologia,formal,corto,1,2,clase_calidad_conexion,1,2
El contenido del curso está muy bien seleccionado y actualizado.,muy_positivo,contenido,formal,corto,4,5,contenidos_adecuados,4,5
"La metodología fomenta la participación y me mantiene motivado. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,metodologia,formal,largo,4,5,organiza_actividades,4,5
"He tenido varios problemas técnicos que cortan el ritmo de la sesión. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,tecnologia,formal,largo,1,3,clase_calidad_audio,1,3
"En general estoy contento con el curso. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,general,informal,largo,3,5,ninguno,1,5
Solo he tenido pequeños problemas técnicos que se han resuelto rápido. Me gustaría que se introdujeran cambios en este sentido.,positivo,tecnologia,sugerencia,corto,3,5,clase_calidad_conexion,3,5
El programa del curso cubre exactamente lo que esperaba aprender.,muy_positivo,contenido,elogio,corto,4,5,contenidos_adecuados,4,5
"Recomendaría este curso sin dudarlo a otras personas. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,general,formal,largo,4,5,ninguno,1,5
La plataforma funciona de forma muy fluida y sin interrupciones.,muy_positivo,tecnologia,formal,corto,4,5,clase_calidad_audio,4,5
"Siento que la forma de trabajar es estándar, ni especialmente buena ni mala.",neutral,metodologia,constructivo,corto,2,4,grado_dificultad,2,4
"No he tenido prácticamente ningún problema técnico durante el curso. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,tecnologia,elogio,largo,4,5,clase_calidad_audio,4,5
"No siempre el profesor responde de forma clara a las dudas. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,profesor,formal,largo,1,3,accesible_y_atiende_consultas,1,3
"Mi experiencia global con el curso ha sido claramente negativa. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,general,formal,largo,1,2,ninguno,1,5
"En ocasiones las clases se hacen demasiado largas. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,clase,queja,largo,1,3,clase_conveniencia_dia,1,3
"La tecnología utilizada es correcta, con algún fallo puntual.",neutral,tecnologia,formal,medio,2,4,clase_calidad_audio,2,4
"No veo relación clara entre la metodología y los objetivos del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,metodologia,formal,largo,1,2,grado_dificultad,1,2
"Solo he tenido pequeños problemas técnicos que se han resuelto rápido. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,tecnologia,constructivo,largo,3,5,clase_calidad_audio,3,5
El contenido del curso no ha cumplido mis expectativas.,muy_negativo,contenido,formal,corto,1,2,conocimientos_utiles_futuro,1,2
"La metodología a veces hace que las clases se sientan algo monótonas. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,metodologia,constructivo,largo,1,3,conocimientos_utiles_futuro,1,3
Me siento perdido en las clases por la falta de claridad del profesor.,muy_negativo,profesor,queja,corto,1,2,recomendaria_profesor,1,2
En varias ocasiones he sentido que el soporte tardaba demasiado en responder.,negativo,soporte,informal,corto,1,3,utilidad_anuncios,1,3
"Hay un buen equilibrio entre explicación y ejercicios prácticos. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,metodologia,informal,largo,3,5,organiza_actividades,3,5
Las respuestas del equipo de soporte son útiles la mayoría de las veces. Creo que aún se podrían mejorar algunos detalles.,positivo,soporte,constructivo,medio,3,5,velocidad_respuesta,3,5
He tenido varios problemas técnicos que cortan el ritmo de la sesión.,negativo,tecnologia,informal,corto,1,3,clase_calidad_audio,1,3
"No tengo una opinión muy marcada sobre el profesor, es aceptable. Me gustaría que se introdujeran cambios en este sentido.",neutral,profesor,sugerencia,medio,2,4,mantiene_atencion,2,4
No disfruto las clases y a menudo desconecto.,muy_negativo,clase,formal,medio,1,2,clase_conveniencia_dia,1,2
"El profesor cumple con su función, sin destacar especialmente. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,profesor,informal,largo,2,4,recomendaria_profesor,2,4
La calidad de audio y vídeo en las clases online es excelente.,muy_positivo,tecnologia,informal,medio,4,5,clase_visibilidad_pantalla,4,5
"Algunos temas del contenido me han resultado poco relevantes. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,contenido,constructivo,largo,1,3,contenidos_adecuados,1,3
"El contenido es correcto, aunque algunos temas me han parecido básicos. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,contenido,informal,largo,2,4,contenidos_adecuados,2,4
"La atención al alumno es excelente y muy cercana. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,soporte,formal,largo,4,5,velocidad_respuesta,4,5
"El soporte responde de forma correcta, sin destacar demasiado.",neutral,soporte,informal,corto,2,4,utilidad_anuncios,2,4
La experiencia general ha sido muy positiva para mí. Valoro mucho este aspecto del curso.,muy_positivo,general,elogio,medio,4,5,ninguno,1,5
A veces las clases son más interesantes y otras más densas.,neutral,clase,formal,medio,2,4,clase_conveniencia_dia,2,4
"El programa del curso cubre exactamente lo que esperaba aprender. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,contenido,elogio,largo,4,5,conocimientos_utiles_futuro,4,5
"No tengo una opinión muy fuerte sobre el soporte, es razonable.",neutral,soporte,constructivo,corto,2,4,utilidad_anuncios,2,4
"Las soluciones que me han dado no siempre han sido claras. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,soporte,constructivo,largo,1,3,velocidad_respuesta,1,3
"La atención es aceptable pero podría ser más proactiva. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,soporte,informal,largo,2,4,utilidad_anuncios,2,4
"La estructura de las sesiones es razonable, pero algo predecible.",neutral,metodologia,constructivo,corto,2,4,conocimientos_utiles_futuro,2,4
En general estoy contento con el curso. Me gustaría que se introdujeran cambios en este sentido.,positivo,general,sugerencia,medio,3,5,ninguno,1,5
"No tengo una opinión muy marcada sobre el profesor, es aceptable.",neutral,profesor,informal,medio,2,4,accesible_y_atiende_consultas,2,4
La metodología a veces hace que las clases se sientan algo monótonas.,negativo,metodologia,formal,corto,1,3,grado_dificultad,1,3
"Echo en falta más actividades prácticas en esta metodología. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,metodologia,queja,largo,1,3,contenidos_adecuados,1,3
Estoy muy decepcionado con el resultado final del curso.,muy_negativo,general,formal,medio,1,2,ninguno,1,5
"Estoy muy insatisfecho con la atención recibida por parte del soporte. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,soporte,formal,largo,1,2,utilidad_anuncios,1,2
"El contenido es correcto, aunque algunos temas me han parecido básicos. Me gustaría que se introdujeran cambios en este sentido.",neutral,contenido,sugerencia,medio,2,4,conocimientos_utiles_futuro,2,4
"La experiencia tecnológica es satisfactoria en la mayoría de las clases. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,tecnologia,elogio,largo,3,5,clase_calidad_conexion,3,5
Los materiales del curso aportan valor y complementan bien las clases.,positivo,contenido,elogio,corto,3,5,contenidos_adecuados,3,5
"Me siento cómodo participando en las clases. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,clase,informal,largo,3,5,clase_conveniencia_dia,3,5
"Las clases se me pasan rápido porque son dinámicas y entretenidas. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,clase,formal,largo,4,5,clase_horario,4,5
"El balance del curso es claramente positivo para mí. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,general,elogio,largo,3,5,ninguno,1,5
Me encanta la combinación de teoría y práctica que se utiliza en el curso.,muy_positivo,metodologia,formal,corto,4,5,grado_dificultad,4,5
"El contenido es correcto, aunque algunos temas me han parecido básicos.",neutral,contenido,constructivo,corto,2,4,conocimientos_utiles_futuro,2,4
El balance del curso es claramente positivo para mí. Creo que aún se podrían mejorar algunos detalles.,positivo,general,constructivo,medio,3,5,ninguno,1,5
Me siento muy acompañado por el soporte académico y técnico.,muy_positivo,soporte,elogio,corto,4,5,velocidad_respuesta,4,5
"Me siento perdido en las clases por la falta de claridad del profesor. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,profesor,queja,largo,1,2,accesible_y_atiende_consultas,1,2
"La calidad técnica es aceptable, pero mejorable. Creo que aún se podrían mejorar algunos detalles.",neutral,tecnologia,constructivo,medio,2,4,clase_visibilidad_pantalla,2,4
La calidad de la conexión suele ser buena.,positivo,tecnologia,informal,corto,3,5,clase_calidad_conexion,3,5
"A veces el profesor no consigue que los conceptos queden claros. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,profesor,informal,largo,1,3,mantiene_atencion,1,3
Siento que la forma de trabajo dificulta mi aprendizaje en lugar de ayudar.,muy_negativo,metodologia,queja,corto,1,2,grado_dificultad,1,2
"El profesor no consigue explicar los contenidos de forma comprensible. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,profesor,queja,largo,1,2,preparado_clases,1,2
Las explicaciones del profesor son buenas y ayudan a entender la materia. Valoro mucho este aspecto del curso.,positivo,profesor,elogio,corto,3,5,recomendaria_profesor,3,5
El profesor explica los conceptos de forma muy clara y estructurada. Valoro mucho este aspecto del curso.,muy_positivo,profesor,elogio,medio,4,5,accesible_y_atiende_consultas,4,5
El ambiente en clase favorece mucho la participación. Valoro mucho este aspecto del curso.,muy_positivo,clase,elogio,corto,4,5,clase_conveniencia_dia,4,5
"La experiencia general ha sido muy positiva para mí. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,general,elogio,largo,4,5,ninguno,1,5
"Mi valoración global es intermedia, ni muy alta ni muy baja. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,general,formal,largo,2,4,ninguno,1,5
Me siento perdido en las clases por la falta de claridad del profesor. Este punto me genera bastante frustración.,muy_negativo,profesor,queja,medio,1,2,mantiene_atencion,1,2
La metodología del curso no se adapta nada a mis necesidades. Este punto me genera bastante frustración.,muy_negativo,metodologia,queja,medio,1,2,grado_dificultad,1,2
Las respuestas del equipo de soporte son útiles la mayoría de las veces.,positivo,soporte,formal,corto,3,5,utilidad_anuncios,3,5
"El ritmo de clase es aceptable, aunque no siempre perfecto.",neutral,clase,sugerencia,corto,2,4,clase_horario,2,4
"Echo en falta más ejemplos o aclaraciones por parte del profesor. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,profesor,queja,largo,1,3,accesible_y_atiende_consultas,1,3
La calidad técnica es muy mala y rompe el flujo de las clases.,muy_negativo,tecnologia,queja,corto,1,2,clase_calidad_audio,1,2
"La experiencia en clase es razonable y estable. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,clase,constructivo,largo,2,4,clase_conveniencia_dia,2,4
Las explicaciones del profesor son correctas pero podrían ser más dinámicas. Creo que aún se podrían mejorar algunos detalles.,neutral,profesor,constructivo,medio,2,4,dominio_materia,2,4
Me gustaría que la metodología fuera más interactiva.,negativo,metodologia,formal,corto,1,3,grado_dificultad,1,3
Las incidencias se acumulan sin una solución clara.,muy_negativo,soporte,formal,medio,1,2,velocidad_respuesta,1,2
Las explicaciones del profesor me resultan confusas y poco útiles.,muy_negativo,profesor,formal,medio,1,2,mantiene_atencion,1,2
Echo en falta más actividades prácticas en esta metodología.,negativo,metodologia,formal,medio,1,3,contenidos_adecuados,1,3
"En general estoy contento con el curso. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,general,sugerencia,largo,3,5,ninguno,1,5
"La plataforma cumple su función, sin destacar demasiado. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,tecnologia,formal,largo,2,4,clase_visibilidad_pantalla,2,4
"Me encanta la combinación de teoría y práctica que se utiliza en el curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,metodologia,formal,largo,4,5,contenidos_adecuados,4,5
"El contenido del curso está muy bien seleccionado y actualizado. Valoro mucho este aspecto del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,contenido,elogio,largo,4,5,contenidos_adecuados,4,5
No tengo una percepción especialmente buena del curso en general.,negativo,general,informal,medio,1,3,ninguno,1,5
"Estoy muy decepcionado con el enfoque y selección del temario. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,contenido,queja,largo,1,2,contenidos_adecuados,1,2
"Las respuestas del equipo de soporte son útiles la mayoría de las veces. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,soporte,constructivo,largo,3,5,utilidad_anuncios,3,5
"El profesor responde a las dudas y facilita el seguimiento del temario. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,profesor,formal,largo,3,5,accesible_y_atiende_consultas,3,5
"El profesor suele explicar bien, aunque a veces va un poco rápido. Me gustaría que se introdujeran cambios en este sentido.",positivo,profesor,sugerencia,corto,3,5,dominio_materia,3,5
El soporte suele responder en un tiempo razonable. Creo que aún se podrían mejorar algunos detalles.,positivo,soporte,constructivo,medio,3,5,utilidad_anuncios,3,5
He tenido varios problemas técnicos que cortan el ritmo de la sesión. Este punto me genera bastante frustración.,negativo,tecnologia,queja,medio,1,3,clase_calidad_audio,1,3
"El profesor cumple con su función, sin destacar especialmente.",neutral,profesor,informal,corto,2,4,mantiene_atencion,2,4
He echado en falta mayor profundidad en ciertos apartados. Creo que aún se podrían mejorar algunos detalles.,negativo,contenido,constructivo,medio,1,3,conocimientos_utiles_futuro,1,3
Hay varios aspectos del curso que me han dejado insatisfecho.,negativo,general,informal,corto,1,3,ninguno,1,5
"Las explicaciones del profesor me resultan confusas y poco útiles. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,profesor,formal,largo,1,2,recomendaria_profesor,1,2
Las conexiones fallan con bastante frecuencia.,negativo,tecnologia,informal,medio,1,3,clase_calidad_conexion,1,3
"En general la metodología me parece bastante acertada. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,metodologia,sugerencia,largo,3,5,contenidos_adecuados,3,5
"Las actividades son aceptables, aunque podrían ser más variadas. Creo que aún se podrían mejorar algunos detalles.",neutral,metodologia,constructivo,medio,2,4,organiza_actividades,2,4
La experiencia global ha sido algo decepcionante. Este punto me genera bastante frustración.,negativo,general,queja,medio,1,3,ninguno,1,5
"La plataforma funciona de forma muy fluida y sin interrupciones. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,tecnologia,formal,largo,4,5,clase_calidad_conexion,4,5
"No tengo una percepción especialmente buena del curso en general. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,general,formal,largo,1,3,ninguno,1,5
"El profesor domina el contenido y sabe transmitirlo de manera excelente. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,profesor,formal,largo,4,5,recomendaria_profesor,4,5
"Parte del contenido me ha parecido desactualizado o repetitivo. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,contenido,informal,largo,1,3,contenidos_adecuados,1,3
Los problemas técnicos son constantes y afectan mucho a mi aprendizaje. Este punto me genera bastante frustración.,muy_negativo,tecnologia,queja,medio,1,2,clase_visibilidad_pantalla,1,2
La tecnología utilizada facilita mucho el seguimiento de las sesiones. Valoro mucho este aspecto del curso.,muy_positivo,tecnologia,elogio,medio,4,5,clase_calidad_audio,4,5
"El contenido es profundo y a la vez fácil de seguir. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_positivo,contenido,informal,largo,4,5,contenidos_adecuados,4,5
No estoy nada satisfecho con la forma de enseñar del profesor.,muy_negativo,profesor,formal,corto,1,2,preparado_clases,1,2
"El profesor no consigue explicar los contenidos de forma comprensible. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,profesor,formal,largo,1,2,recomendaria_profesor,1,2
"Estoy muy decepcionado con el resultado final del curso. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,general,formal,largo,1,2,ninguno,1,5
"A veces las clases son más interesantes y otras más densas. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,clase,informal,largo,2,4,clase_duracion,2,4
Solo he tenido pequeños problemas técnicos que se han resuelto rápido. Valoro mucho este aspecto del curso.,positivo,tecnologia,elogio,corto,3,5,clase_calidad_conexion,3,5
"No tengo una opinión muy fuerte sobre el soporte, es razonable. Me gustaría que se introdujeran cambios en este sentido. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,soporte,sugerencia,largo,2,4,velocidad_respuesta,2,4
Repetiría una formación similar con esta escuela.,positivo,general,formal,medio,3,5,ninguno,1,5
"La experiencia global ha sido buena, con algunos puntos mejorables.",positivo,general,formal,corto,3,5,ninguno,1,5
"Las dinámicas de clase me resultan poco útiles y repetitivas. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,metodologia,queja,largo,1,2,conocimientos_utiles_futuro,1,2
El profesor explica los conceptos de forma muy clara y estructurada.,muy_positivo,profesor,formal,corto,4,5,mantiene_atencion,4,5
"Las clases son correctas, sin algo especialmente destacable. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,clase,informal,largo,2,4,clase_conveniencia_dia,2,4
La conexión y la plataforma fallan tan a menudo que desmotivan. Este punto me genera bastante frustración.,muy_negativo,tecnologia,queja,medio,1,2,clase_calidad_conexion,1,2
Algunos temas del contenido me han resultado poco relevantes. Este punto me genera bastante frustración.,negativo,contenido,queja,medio,1,3,conocimientos_utiles_futuro,1,3
"He tenido algunas incidencias técnicas, pero nada grave. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,tecnologia,formal,largo,2,4,clase_visibilidad_pantalla,2,4
Muchos temas me parecen irrelevantes para mis objetivos.,muy_negativo,contenido,formal,corto,1,2,conocimientos_utiles_futuro,1,2
Las clases suelen tener un ritmo adecuado en la mayoría de los días.,positivo,clase,informal,corto,3,5,clase_conveniencia_dia,3,5
No recomendaría este curso a otras personas.,muy_negativo,general,queja,corto,1,2,ninguno,1,5
"Hay varios aspectos del curso que me han dejado insatisfecho. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,general,constructivo,largo,1,3,ninguno,1,5
"El ritmo de clase no siempre se adapta al grupo. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,clase,formal,largo,1,3,clase_conveniencia_dia,1,3
Me siento muy acompañado por el profesor durante todo el curso. Valoro mucho este aspecto del curso.,muy_positivo,profesor,elogio,corto,4,5,recomendaria_profesor,4,5
"La experiencia global ha sido algo decepcionante. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,general,queja,largo,1,3,ninguno,1,5
En general la plataforma responde bien y es estable. Me gustaría que se introdujeran cambios en este sentido.,positivo,tecnologia,sugerencia,medio,3,5,clase_visibilidad_pantalla,3,5
"He tenido algunas incidencias técnicas, pero nada grave. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,tecnologia,constructivo,largo,2,4,clase_visibilidad_pantalla,2,4
El temario no siempre se ajusta a lo que esperaba aprender. Este punto me genera bastante frustración.,negativo,contenido,queja,medio,1,3,contenidos_adecuados,1,3
La plataforma a veces se bloquea o responde lenta. Este punto me genera bastante frustración.,negativo,tecnologia,queja,medio,1,3,clase_visibilidad_pantalla,1,3
"Me gustaría que la metodología fuera más interactiva. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,metodologia,queja,largo,1,3,organiza_actividades,1,3
"En general estoy contento con el curso. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",positivo,general,constructivo,largo,3,5,ninguno,1,5
