Id_encuesta,id_usuario,Id_curso,Tipo_clase,fecha,preparado_clases,dominio_materia,mantiene_atencion,relaciona_con_ejemplos,ejemplos_mundo_profesional,accesible_y_atiende_consultas,fomenta_colaboracion,puntualidad,referencias_en_redes,recomendaria_profesor,organiza_actividades,contenidos_adecuados,grado_dificultad,conocimientos_utiles_futuro,clase_duracion,clase_horario,clase_conveniencia_dia,clase_calidad_conexion,clase_visibilidad_pantalla,clase_calidad_audio,velocidad_respuesta,utilidad_anuncios,satisfaccion_general,comentarios
E0011,U0821,C0025,Híbrido,2023-01-10 08:36:29,5,3,4,5,4,3,5,3,2,4,4,4,1,5,Regular,Mal,Genial,Genial,Pésimo,Regular,5,4,4,La mayor parte del contenido me resulta aplicable a mi trabajo.
E0012,U0045,C0024,Online,2023-01-11 20:35:51,1,5,2,5,5,3,5,5,2,5,5,5,4,5,Bien,Genial,Genial,Genial,Genial,Genial,5,5,5,No he tenido prácticamente ningún problema técnico durante el curso.
E0013,U0050,C0007,Online,2023-01-12 17:55:21,5,4,4,4,5,3,5,5,1,5,2,3,4,3,Genial,Genial,Bien,Mal,Mal,Regular,4,2,3,El profesor responde a las dudas y facilita el seguimiento del temario. Me gustaría que se introdujeran cambios en este sentido. Me anima a preparar las sesiones con antelación. Se refleja en los resultados que obtengo en cada entrega.
E0014,U0850,C0017,Online,2023-01-14 05:46:06,1,1,3,1,1,1,1,3,1,1,3,3,1,3,Bien,Pésimo,Regular,Mal,Pésimo,Mal,1,3,1,A lo largo de estas semanas he notado que no siento que el equipo de soporte se preocupe por mis problemas. El seguimiento individual ayuda a no perder el ritmo.
E0015,U0241,C0023,Híbrido,2023-01-14 11:18:52,5,5,5,3,5,2,2,4,4,5,5,4,3,5,Bien,Bien,Regular,Genial,Bien,Genial,5,3,5,En conversaciones con mis compañeros coincidimos en que me encanta la combinación de teoría y práctica que se utiliza en el curso.
E0016,U0171,C0018,Híbrido,2023-01-16 05:28:59,2,5,5,1,5,5,5,5,4,4,3,3,4,5,Regular,Genial,Genial,Genial,Bien,Genial,3,5,4,"Al repasar mis notas concluyo que el profesor suele explicar bien, aunque a veces va un poco rápido."
E0017,U0524,C0021,Online,2023-01-16 06:14:44,5,5,4,2,1,5,4,5,3,2,2,4,3,3,Bien,Mal,Bien,Bien,Bien,Genial,2,3,4,Las clases se me pasan rápido porque son dinámicas y entretenidas. Valoro mucho este aspecto del curso. Las interacciones con los compañeros enriquecen las sesiones.
E0018,U0766,C0008,Online,2023-01-16 22:58:03,4,4,5,5,4,5,5,5,4,5,2,2,4,1,Bien,Regular,Regular,Pésimo,Regular,Bien,2,3,3,En general las clases son agradables y productivas.
E0019,U0839,C0027,Online,2023-01-17 01:51:54,4,4,5,3,3,2,4,5,1,5,2,4,4,5,Genial,Genial,Regular,Regular,Bien,Bien,4,4,4,"Al repasar mis notas concluyo que hay un buen equilibrio entre explicación y ejercicios prácticos. Valoro mucho este aspecto del curso. Para mí, marca la diferencia respecto a otros programas."
E0020,U0424,C0019,Online,2023-01-18 05:53:43,4,2,4,4,5,5,5,4,4,4,4,5,5,4,Mal,Regular,Mal,Bien,Genial,Genial,5,3,5,Con la mente puesta en mis objetivos profesionales valoro que el profesor responde a las dudas y facilita el seguimiento del temario. Valoro mucho este aspecto del curso. Se refleja en los resultados que obtengo en cada entrega.
E0021,U0381,C0004,Online,2023-01-20 12:45:02,4,2,1,3,4,5,5,5,3,3,4,5,1,5,Bien,Bien,Genial,Genial,Genial,Bien,3,4,4,"Si pienso en el progreso del curso, creo que las clases tienen un ritmo muy bueno y mantienen mi atención. El equipo docente cuida los ritmos y los descansos. Se refleja en los resultados que obtengo en cada entrega."
E0022,U0610,C0027,Online,2023-01-20 16:01:33,5,2,5,5,3,3,5,3,5,4,3,5,3,4,Bien,Bien,Regular,Regular,Bien,Genial,1,4,5,En conversaciones con mis compañeros coincidimos en que no he tenido prácticamente ningún problema técnico durante el curso. Las grabaciones mantienen una calidad más que correcta.
E0023,U0677,C0015,Híbrido,2023-01-22 09:05:25,5,4,4,4,5,4,4,4,4,3,4,5,5,4,Bien,Bien,Genial,Genial,Bien,Genial,5,4,5,"El contenido es profundo y a la vez fácil de seguir. Me da herramientas concretas para actuar en el trabajo. Para mí, marca la diferencia respecto a otros programas."
E0024,U0345,C0011,Online,2023-01-24 03:46:11,5,4,3,4,3,5,5,2,2,4,5,4,4,2,Regular,Genial,Genial,Pésimo,Bien,Genial,5,3,5,Mirando mi avance hasta ahora entiendo que en general la metodología me parece bastante acertada. Creo que aún se podrían mejorar algunos detalles. Consigue equilibrar teoría y casos reales de forma constante.
E0025,U0110,C0011,Online,2023-01-24 15:57:55,5,4,5,3,3,3,5,5,3,4,5,4,3,5,Bien,Genial,Genial,Genial,Bien,Genial,5,4,5,El programa del curso cubre exactamente lo que esperaba aprender. Valoro mucho este aspecto del curso. Cada unidad conecta con tendencias actuales del sector. Lo tengo muy presente cuando hablo de la escuela.
E0026,U0278,C0009,Híbrido,2023-01-25 00:32:04,2,5,5,5,4,5,4,5,2,5,5,2,5,4,Genial,Genial,Genial,Regular,Genial,Genial,5,4,5,"Si pienso en el progreso del curso, creo que el profesor explica los conceptos de forma muy clara y estructurada."
E0027,U0678,C0011,Online,2023-01-25 05:09:38,5,5,3,5,4,3,4,3,4,4,4,4,4,4,Bien,Bien,Pésimo,Bien,Bien,Bien,4,3,4,Mirando mi avance hasta ahora entiendo que el contenido es profundo y a la vez fácil de seguir.
E0028,U0571,C0025,Híbrido,2023-01-25 20:52:23,4,1,3,4,4,4,4,4,4,5,5,5,1,3,Pésimo,Bien,Genial,Bien,Bien,Regular,4,2,4,Desde mi perspectiva personal considero que las explicaciones del profesor son correctas pero podrían ser más dinámicas. Creo que aún se podrían mejorar algunos detalles. La disponibilidad del profesorado genera mucha confianza. Es un aspecto que comparto también con mis compañeros.
E0029,U0359,C0031,Online,2023-01-25 23:17:08,4,5,5,5,5,5,5,3,5,4,5,5,4,3,Genial,Genial,Regular,Regular,Genial,Bien,5,4,5,Desde mi perspectiva personal considero que el ambiente en clase favorece mucho la participación. Valoro mucho este aspecto del curso. El ambiente que se genera invita a preguntar sin miedo.
E0030,U0599,C0018,Híbrido,2023-01-27 05:50:26,5,4,1,4,5,4,5,5,2,3,4,4,5,5,Bien,Regular,Genial,Bien,Genial,Bien,5,4,4,"En mi día a día con el curso observo que la tecnología utilizada es correcta, con algún fallo puntual."
E0031,U0391,C0010,Online,2023-01-28 04:21:06,1,1,3,2,2,1,1,1,1,2,1,2,1,1,Pésimo,Mal,Mal,Pésimo,Mal,Mal,5,1,1,Al repasar mis notas concluyo que parte del contenido me ha parecido desactualizado o repetitivo. Cada unidad conecta con tendencias actuales del sector. Es un aspecto que comparto también con mis compañeros.
E0032,U0894,C0006,Híbrido,2023-01-28 05:18:26,2,5,4,3,2,2,5,3,3,3,4,2,4,2,Genial,Regular,Bien,Bien,Bien,Regular,4,2,2,"En conversaciones con mis compañeros coincidimos en que el profesor mantiene un nivel adecuado, sin puntos muy fuertes ni muy débiles. Hace que las dudas se resuelvan con rapidez."
E0033,U0693,C0008,Online,2023-01-28 11:39:46,2,4,4,5,4,3,4,2,5,4,5,3,3,4,Genial,Pésimo,Regular,Bien,Genial,Regular,4,2,5,La dedicación del profesor marca una diferencia enorme en mi aprendizaje. La disponibilidad del profesorado genera mucha confianza. Es un aspecto que comparto también con mis compañeros.
E0034,U0728,C0023,Híbrido,2023-02-01 18:06:25,5,5,3,5,3,5,5,5,1,4,4,4,2,5,Genial,Bien,Bien,Genial,Genial,Regular,5,4,5,En general estoy satisfecho con cómo el profesor lleva las clases. Valoro mucho este aspecto del curso.
E0035,U0363,C0018,Híbrido,2023-02-03 17:53:33,4,4,4,4,4,4,4,4,4,2,3,5,3,1,Regular,Regular,Genial,Bien,Genial,Mal,5,5,4,"No tengo una opinión muy marcada sobre el profesor, es aceptable."
E0036,U0597,C0018,Híbrido,2023-02-04 22:37:20,4,5,5,4,5,4,3,4,2,2,3,5,4,5,Bien,Bien,Bien,Bien,Genial,Pésimo,2,4,5,En conversaciones con mis compañeros coincidimos en que la experiencia tecnológica es satisfactoria en la mayoría de las clases. Creo que aún se podrían mejorar algunos detalles. El soporte técnico interviene con rapidez cuando hace falta. Lo tengo muy presente cuando hablo de la escuela.
E0037,U0428,C0004,Online,2023-02-05 10:54:36,4,4,4,3,3,4,5,4,3,4,3,2,4,3,Regular,Bien,Bien,Genial,Genial,Bien,3,4,2,"La tecnología utilizada es correcta, con algún fallo puntual. El soporte técnico interviene con rapidez cuando hace falta. Esa impresión se mantiene con el paso de las semanas."
E0038,U0071,C0001,Híbrido,2023-02-07 23:43:52,2,5,4,3,4,4,5,5,4,1,4,4,1,3,Genial,Mal,Bien,Regular,Genial,Bien,3,1,4,"La estructura de las sesiones es razonable, pero algo predecible. La evolución de la dificultad está bastante cuidada. Es algo que impacta en mi motivación diaria."
E0039,U0322,C0017,Online,2023-02-08 11:40:03,2,4,4,5,4,4,3,3,5,4,5,5,4,5,Bien,Genial,Regular,Genial,Genial,Genial,3,3,5,Tras varias sesiones puedo decir que los temas tratados son muy relevantes para mi desarrollo profesional. Me da herramientas concretas para actuar en el trabajo. Esa impresión se mantiene con el paso de las semanas.
E0040,U0653,C0001,Híbrido,2023-02-09 11:39:08,4,1,3,3,2,1,2,1,3,2,3,1,5,1,Pésimo,Pésimo,Mal,Pésimo,Pésimo,Pésimo,4,2,1,Desde mi perspectiva personal considero que me cuesta mantener la atención durante toda la clase. Este punto me genera bastante frustración.
E0041,U1066,C0002,Online,2023-02-09 14:21:21,1,1,1,3,2,1,1,1,2,3,1,1,1,4,Pésimo,Regular,Mal,Mal,Pésimo,Pésimo,1,1,1,"Cuando comparo esta formación con otras, percibo que siento que la forma de trabajo dificulta mi aprendizaje en lugar de ayudar. Permite que la práctica tenga un peso real en el aprendizaje. Creo que resume bien cómo vivo el curso."
E0042,U0108,C0014,Online,2023-02-10 19:15:12,5,4,5,3,2,4,2,4,5,4,4,3,1,2,Bien,Mal,Bien,Regular,Bien,Genial,3,2,4,Mirando mi avance hasta ahora entiendo que las explicaciones del profesor son buenas y ayudan a entender la materia. Valoro mucho este aspecto del curso. Esa impresión se mantiene con el paso de las semanas.
E0043,U1109,C0029,Híbrido,2023-02-10 23:12:07,5,4,5,5,5,5,4,5,4,5,5,5,4,4,Bien,Genial,Genial,Genial,Regular,Genial,3,5,5,Desde el primer módulo he sentido que la tecnología utilizada facilita mucho el seguimiento de las sesiones. Valoro mucho este aspecto del curso. Las grabaciones mantienen una calidad más que correcta. Esa impresión se mantiene con el paso de las semanas.
E0044,U0356,C0003,Online,2023-02-13 23:10:34,4,3,3,4,5,5,4,2,2,2,4,5,3,3,Bien,Genial,Genial,Genial,Mal,Bien,5,2,4,Desde el primer módulo he sentido que la calidad de la conexión suele ser buena. Valoro mucho este aspecto del curso. Siento que el equipo debería tenerlo en cuenta.
E0045,U0951,C0024,Online,2023-02-15 03:27:50,4,5,4,3,4,5,4,1,4,1,5,3,5,4,Regular,Mal,Regular,Bien,Mal,Bien,4,4,4,A lo largo de estas semanas he notado que la plataforma funciona de forma muy fluida y sin interrupciones. Valoro mucho este aspecto del curso. Se nota que prueban las soluciones antes de cada sesión.
E0046,U0343,C0019,Online,2023-02-15 13:37:13,5,1,4,2,4,4,4,4,5,5,5,3,3,5,Mal,Bien,Genial,Bien,Genial,Bien,3,2,5,A lo largo de estas semanas he notado que el formato de las sesiones me ayuda a seguir el hilo del curso. Valoro mucho este aspecto del curso. Las dinámicas grupales hacen que el tiempo pase rápido.
E0047,U0355,C0004,Online,2023-02-15 14:57:52,3,5,5,5,4,4,2,3,3,2,3,4,4,5,Genial,Bien,Bien,Regular,Regular,Bien,5,4,4,"Con la mente puesta en mis objetivos profesionales valoro que siempre que he tenido una duda, el soporte me ha ayudado de inmediato. Valoro mucho este aspecto del curso. El seguimiento individual ayuda a no perder el ritmo."
E0048,U0024,C0020,Online,2023-02-16 08:58:21,5,5,3,4,5,3,5,4,4,4,5,5,1,5,Regular,Bien,Bien,Genial,Bien,Bien,2,1,4,"En conversaciones con mis compañeros coincidimos en que las clases son correctas, sin algo especialmente destacable. Las interacciones con los compañeros enriquecen las sesiones. Esa impresión se mantiene con el paso de las semanas."
E0049,U0044,C0022,Online,2023-02-17 07:47:52,4,5,5,3,4,2,5,4,5,2,2,3,3,3,Genial,Regular,Regular,Regular,Genial,Regular,3,5,4,En general la metodología me parece bastante acertada. Valoro mucho este aspecto del curso.
E0050,U0244,C0021,Online,2023-02-17 14:31:28,2,5,5,4,4,5,3,4,5,5,3,5,4,5,Genial,Genial,Bien,Bien,Genial,Regular,5,4,5,Analizando lo que he aprendido siento que el profesor responde a las dudas y facilita el seguimiento del temario.
E0051,U0738,C0006,Híbrido,2023-02-17 23:09:46,5,4,3,2,3,3,3,5,4,4,2,5,4,2,Genial,Bien,Mal,Genial,Bien,Mal,4,2,4,"A lo largo de estas semanas he notado que el profesor responde a las dudas y facilita el seguimiento del temario. Valoro mucho este aspecto del curso. Hace que las dudas se resuelvan con rapidez. Para mí, marca la diferencia respecto a otros programas."
E0052,U1136,C0029,Híbrido,2023-02-18 08:48:50,1,3,1,1,5,3,2,1,3,2,3,3,1,1,Mal,Pésimo,Pésimo,Mal,Genial,Regular,1,1,1,"Cuando comparo esta formación con otras, percibo que parte del contenido me ha parecido desactualizado o repetitivo. Encuentro referencias útiles para seguir investigando por mi cuenta."
E0053,U0368,C0015,Híbrido,2023-02-18 21:22:41,2,4,2,2,1,2,3,1,3,4,1,2,1,3,Mal,Mal,Regular,Pésimo,Regular,Mal,1,2,1,Las dinámicas de clase me resultan poco útiles y repetitivas.
E0054,U0164,C0023,Híbrido,2023-02-19 00:56:43,4,5,4,5,4,5,5,2,4,5,5,4,5,5,Genial,Regular,Genial,Genial,Bien,Genial,5,4,5,Desde el primer módulo he sentido que la metodología es adecuada y me ayuda a entender mejor los temas. Me gustaría que se introdujeran cambios en este sentido. Las dinámicas se integran bien con los objetivos de cada módulo. Me ayuda a decidir en qué módulos profundizar.
E0055,U1116,C0011,Online,2023-02-19 04:15:03,3,5,4,3,1,4,4,5,5,2,5,3,5,5,Bien,Genial,Regular,Genial,Bien,Regular,3,5,4,La dedicación del profesor marca una diferencia enorme en mi aprendizaje. Valoro mucho este aspecto del curso. La disponibilidad del profesorado genera mucha confianza.
E0056,U0333,C0001,Híbrido,2023-02-23 22:23:53,5,4,3,2,2,5,4,5,4,3,4,4,4,5,Genial,Genial,Regular,Mal,Bien,Regular,4,1,4,Mirando mi avance hasta ahora entiendo que la mayor parte del contenido me resulta aplicable a mi trabajo. Me gustaría que se introdujeran cambios en este sentido. Creo que resume bien cómo vivo el curso.
E0057,U0989,C0001,Híbrido,2023-02-24 21:50:29,4,5,4,5,5,5,4,4,1,4,5,5,5,5,Genial,Genial,Bien,Genial,Pésimo,Regular,4,4,5,La atención al alumno es excelente y muy cercana.
E0058,U1173,C0014,Online,2023-02-26 13:34:12,3,4,2,4,5,4,1,4,1,5,2,5,5,5,Bien,Genial,Genial,Bien,Regular,Genial,3,5,4,Las respuestas del equipo de soporte son útiles la mayoría de las veces. Siento que hacen un esfuerzo genuino por escucharnos. Es algo que impacta en mi motivación diaria.
E0059,U1002,C0009,Híbrido,2023-02-26 21:33:28,2,5,4,2,3,1,4,3,4,3,3,5,1,5,Genial,Bien,Bien,Genial,Bien,Bien,5,3,2,"Si pienso en el progreso del curso, creo que no tengo una opinión muy fuerte sobre el soporte, es razonable. La comunicación por correo y chat está bien coordinada. Es algo que impacta en mi motivación diaria."
E0060,U0378,C0015,Híbrido,2023-02-28 01:31:17,5,5,5,4,4,4,5,5,1,5,3,5,1,5,Regular,Genial,Bien,Genial,Genial,Bien,5,4,5,En mi día a día con el curso observo que la mayor parte del contenido me resulta aplicable a mi trabajo. Valoro mucho este aspecto del curso. Aporta claridad sobre temas que antes veía confusos.
E0061,U0310,C0026,Híbrido,2023-02-28 10:52:37,4,5,3,4,2,4,4,4,5,4,5,4,4,2,Regular,Bien,Bien,Genial,Regular,Bien,4,3,4,"En mi día a día con el curso observo que el profesor mantiene un nivel adecuado, sin puntos muy fuertes ni muy débiles. Creo que aún se podrían mejorar algunos detalles."
E0062,U0156,C0024,Online,2023-03-01 16:16:05,4,4,4,4,4,4,5,1,5,5,3,4,3,3,Bien,Pésimo,Regular,Pésimo,Bien,Mal,3,4,4,"Siempre que he tenido una duda, el soporte me ha ayudado de inmediato. Valoro mucho este aspecto del curso. Siento que hacen un esfuerzo genuino por escucharnos. Es algo que impacta en mi motivación diaria."
E0063,U0211,C0013,Online,2023-03-02 15:47:28,5,5,2,3,4,4,4,5,4,4,3,5,5,5,Pésimo,Bien,Mal,Genial,Pésimo,Genial,3,4,5,El contenido es interesante y útil en la mayoría de los temas. Valoro mucho este aspecto del curso. Aporta claridad sobre temas que antes veía confusos.
E0064,U0087,C0007,Online,2023-03-02 20:19:29,5,5,3,5,5,5,4,4,5,4,5,5,5,5,Bien,Regular,Regular,Genial,Genial,Regular,5,2,5,"Cuando comparo esta formación con otras, percibo que el contenido es interesante y útil en la mayoría de los temas. Hay ejemplos que puedo trasladar directamente a mis proyectos."
E0065,U0169,C0023,Híbrido,2023-03-03 06:17:44,4,2,1,4,3,4,4,1,2,4,3,5,4,5,Bien,Bien,Bien,Bien,Genial,Bien,3,3,5,Al repasar mis notas concluyo que me encanta la combinación de teoría y práctica que se utiliza en el curso. Valoro mucho este aspecto del curso. Consigue equilibrar teoría y casos reales de forma constante. Lo tengo muy presente cuando hablo de la escuela.
E0066,U0995,C0003,Online,2023-03-04 16:03:19,5,2,5,1,4,1,4,4,4,3,4,1,4,5,Regular,Bien,Bien,Regular,Mal,Bien,3,4,2,En conversaciones con mis compañeros coincidimos en que me cuesta seguir las explicaciones del profesor en algunas sesiones. Creo que aún se podrían mejorar algunos detalles. La disponibilidad del profesorado genera mucha confianza. Es un aspecto que comparto también con mis compañeros.
E0067,U0052,C0027,Online,2023-03-05 15:05:27,5,4,4,5,4,5,3,4,1,5,5,4,1,2,Bien,Regular,Mal,Regular,Bien,Regular,5,4,5,La atención al alumno en general es buena. Valoro mucho este aspecto del curso. El seguimiento individual ayuda a no perder el ritmo. Creo que resume bien cómo vivo el curso.
E0068,U0439,C0003,Online,2023-03-05 20:11:45,4,4,4,5,4,2,4,3,1,5,5,5,3,4,Regular,Regular,Genial,Regular,Regular,Regular,2,3,3,A veces las clases son más interesantes y otras más densas. Me gustaría que se introdujeran cambios en este sentido.
E0069,U0550,C0027,Online,2023-03-08 22:34:44,4,2,4,4,4,4,5,5,4,4,4,3,3,1,Bien,Bien,Regular,Genial,Genial,Bien,5,2,4,Mirando mi avance hasta ahora entiendo que el formato de las sesiones me ayuda a seguir el hilo del curso. Se refleja en los resultados que obtengo en cada entrega.
E0070,U0491,C0011,Online,2023-03-11 21:07:03,5,3,5,4,5,5,3,4,5,4,5,5,4,4,Bien,Genial,Bien,Genial,Bien,Genial,5,4,5,Mirando mi avance hasta ahora entiendo que la mayor parte del contenido me resulta aplicable a mi trabajo.
E0071,U0426,C0018,Híbrido,2023-03-13 03:03:30,1,2,2,3,2,5,1,1,2,1,1,1,1,1,Genial,Pésimo,Mal,Mal,Mal,Mal,2,1,1,Al repasar mis notas concluyo que algunas sesiones se sienten poco productivas.
E0072,U0136,C0005,Online,2023-03-14 20:41:33,3,4,5,3,3,5,1,5,4,5,3,1,4,5,Genial,Mal,Genial,Genial,Genial,Genial,5,2,5,Tras varias sesiones puedo decir que la atención al alumno es excelente y muy cercana. Detectan incidencias antes de que se conviertan en un problema. Esa impresión se mantiene con el paso de las semanas.
E0073,U1192,C0026,Híbrido,2023-03-14 21:10:00,3,4,1,3,4,4,4,4,1,2,5,4,2,5,Regular,Bien,Mal,Regular,Regular,Regular,3,5,3,Analizando lo que he aprendido siento que la atención al alumno en general es buena. Siento que hacen un esfuerzo genuino por escucharnos.
E0074,U0055,C0020,Online,2023-03-16 01:39:16,5,4,5,4,4,4,5,5,4,4,5,3,5,5,Bien,Genial,Genial,Genial,Bien,Bien,4,3,5,"Cuando comparo esta formación con otras, percibo que las clases suelen tener un ritmo adecuado en la mayoría de los días. Me gustaría que se introdujeran cambios en este sentido. El equipo docente cuida los ritmos y los descansos."
E0075,U0079,C0017,Online,2023-03-16 08:56:15,4,5,3,5,5,4,4,5,5,5,4,4,2,4,Genial,Genial,Genial,Mal,Genial,Pésimo,4,5,5,Desde el primer módulo he sentido que la forma de estructurar las actividades hace que todo sea muy fluido.
E0076,U0431,C0024,Online,2023-03-18 20:53:18,3,2,4,3,5,3,5,5,3,5,4,5,1,4,Bien,Bien,Bien,Bien,Mal,Regular,5,2,3,En conversaciones con mis compañeros coincidimos en que las explicaciones del profesor son correctas pero podrían ser más dinámicas.
E0077,U0185,C0005,Online,2023-03-20 21:42:51,5,5,4,4,5,5,3,4,4,5,4,3,4,5,Pésimo,Genial,Regular,Genial,Genial,Bien,5,4,5,Desde el primer módulo he sentido que el profesor domina el contenido y sabe transmitirlo de manera excelente. Valoro mucho este aspecto del curso.
E0078,U0057,C0022,Online,2023-03-21 08:26:05,5,3,4,4,3,2,4,5,3,4,4,5,2,5,Regular,Bien,Mal,Bien,Bien,Mal,4,2,4,"Las clases son correctas, sin algo especialmente destacable. Salgo de cada clase con ideas prácticas para aplicar. Es algo que impacta en mi motivación diaria."
E0079,U0943,C0028,Online,2023-03-25 14:17:56,5,5,5,5,1,5,3,5,3,5,5,1,3,5,Bien,Regular,Regular,Genial,Mal,Pésimo,5,5,4,"Cuando comparo esta formación con otras, percibo que la experiencia en clase es razonable y estable."
E0080,U0851,C0004,Online,2023-03-25 21:19:26,2,4,5,5,4,4,1,4,4,5,5,2,5,5,Genial,Bien,Bien,Genial,Genial,Genial,5,4,5,El profesor domina el contenido y sabe transmitirlo de manera excelente. Es un aspecto que comparto también con mis compañeros.
E0081,U1164,C0013,Online,2023-03-27 00:30:28,2,4,4,5,3,4,4,4,4,5,3,5,4,5,Genial,Regular,Regular,Genial,Bien,Bien,4,3,4,Tras varias sesiones puedo decir que las explicaciones del profesor son correctas pero podrían ser más dinámicas. Me anima a preparar las sesiones con antelación.
E0082,U0219,C0005,Online,2023-03-28 17:18:28,1,4,1,2,3,2,1,1,1,2,1,1,4,2,Pésimo,Mal,Mal,Mal,Bien,Regular,2,1,1,La forma de plantear las tareas no siempre ayuda a consolidar lo aprendido.
E0083,U0845,C0012,Online,2023-03-28 18:46:56,4,5,5,4,5,5,3,5,4,4,5,3,4,4,Bien,Genial,Bien,Bien,Bien,Genial,3,4,5,A lo largo de estas semanas he notado que el programa del curso cubre exactamente lo que esperaba aprender. Cada unidad conecta con tendencias actuales del sector.
E0084,U0114,C0022,Online,2023-03-29 15:41:42,5,3,5,5,5,5,4,5,4,3,4,5,2,4,Bien,Regular,Bien,Genial,Bien,Genial,5,3,5,Desde el primer módulo he sentido que la calidad de audio y vídeo en las clases online es excelente. La plataforma permite seguir la clase incluso desde el móvil.
E0085,U0549,C0003,Online,2023-03-30 13:15:06,1,5,3,4,5,3,3,4,5,1,5,3,5,5,Bien,Bien,Bien,Regular,Genial,Genial,5,4,3,En general la plataforma responde bien y es estable. Creo que aún se podrían mejorar algunos detalles. La plataforma permite seguir la clase incluso desde el móvil. Me ayuda a decidir en qué módulos profundizar.
E0086,U1019,C0029,Híbrido,2023-04-01 14:08:39,4,5,4,5,4,5,4,4,5,3,5,4,1,2,Regular,Genial,Bien,Bien,Genial,Genial,4,3,5,A lo largo de estas semanas he notado que las clases tienen un ritmo muy bueno y mantienen mi atención. Valoro mucho este aspecto del curso.
E0087,U1073,C0026,Híbrido,2023-04-03 02:33:03,5,3,4,5,5,4,5,5,5,5,4,4,3,5,Mal,Genial,Bien,Genial,Bien,Bien,5,5,5,Las clases suelen tener un ritmo adecuado en la mayoría de los días. Valoro mucho este aspecto del curso. Se refleja en los resultados que obtengo en cada entrega.
E0088,U0175,C0007,Online,2023-04-03 09:43:09,3,4,5,4,3,5,4,3,3,1,2,5,1,4,Bien,Mal,Genial,Mal,Pésimo,Bien,5,1,3,"Cuando he tenido incidencias, se han resuelto adecuadamente. Creo que aún se podrían mejorar algunos detalles. Define la confianza que tengo en seguir avanzando."
